From,To,Assignment Name,Value,Enabled
,SDRAM_A10,P$176,PIN_R7,Yes
,SDRAM_B_1,P$177,PIN_P6,Yes
,SDRAM_B_0,P$178,PIN_P7,Yes
,SDRAM_CS_N,P$179,PIN_P8,Yes
,SDRAM_RAS_N,P$180,PIN_N6,Yes
,SDRAM_CAS_N,P$181,PIN_N8,Yes
,SDRAM_WE_N,P$182,PIN_N9,Yes
,SDRAM_LDQM,P$183,PIN_M6,Yes
,SDRAM_DQ_7,P$184,PIN_M7,Yes
,SDRAM_DQ_6,P$185,PIN_M8,Yes
,SDRAM_DQ_5,P$186,PIN_L7,Yes
,SDRAM_DQ_4,P$187,PIN_L8,Yes
,SDRAM_DQ_0,P$188,PIN_K7,Yes
,SDRAM_DQ_1,P$189,PIN_K9,Yes
,SDRAM_DQ_2,P$190,PIN_J7,Yes
,SDRAM_DQ_3,P$191,PIN_J8,Yes
,ADC_SDA,P$192,PIN_H6,Yes
,ADC_SCL,P$193,PIN_G6,Yes
